leto,ime_drzave,ime_izvajalca,naslov_pesmi,mesto,tocke_v_finalu,youtube_link
2014,Slovenia,Tinkara Kovač,Round and Round,25.0,9.0,https://youtube.com/watch?v=CiwM1sY3u0s
2014,France,TWIN TWIN,Moustache,26.0,2.0,https://youtube.com/watch?v=vjkqciwP034
2014,Portugal,Suzy,Quero Ser Tua,27.0,,https://youtube.com/watch?v=fhMbHLiEjS4
2014,Lithuania,Vilija Matačiūnaitė,Attention,28.0,,https://youtube.com/watch?v=qOGEtw7tmik
2014,Ireland,Can-Linn feat. Kasey Smith,Heartbeat,29.0,,https://youtube.com/watch?v=J9zEybTMeEs
2014,Estonia,Tanja,Amazing,30.0,,https://youtube.com/watch?v=wi9Q1ufjooE
2014,North Macedonia,Tijana,To the Sky,31.0,,https://youtube.com/watch?v=2BqLPMF8Xdc
2014,Latvia,Aarzemnieki,Cake To Bake,32.0,,https://youtube.com/watch?v=h0D1Ya3NBQs
2014,Belgium,Axel Hirsoux,Mother,33.0,,https://youtube.com/watch?v=wr3m4ghnq6w
2014,Albania,Hersi,One Night's Anger,34.0,,https://youtube.com/watch?v=Ahu_K_Jh2vc
2014,Israel,Mei Finegold,Same Heart,35.0,,https://youtube.com/watch?v=acOZVEN5XjE
2014,Georgia,The Shin and Mariko,Three Minutes To Earth,36.0,,https://youtube.com/watch?v=0v69AvCQJQY
2014,Moldova,Cristina Scarlat,Wild Soul,37.0,,https://youtube.com/watch?v=l9ZfGttI4P0
2015,Sweden,Måns Zelmerlöw,Heroes,1.0,365.0,https://youtube.com/watch?v=5sGOwFVUU0I
2015,Russia,Polina Gagarina,A Million Voices,2.0,303.0,https://youtube.com/watch?v=Q2gbKglCL5s
2015,Italy,Il Volo,Grande Amore,3.0,292.0,https://youtube.com/watch?v=1TOMqZV2jA8
2015,Belgium,Loïc Nottet,Rhythm Inside,4.0,217.0,https://youtube.com/watch?v=IjH-HYAFICg
2015,Australia,Guy Sebastian,Tonight Again,5.0,196.0,https://youtube.com/watch?v=H0EhhZWXTng
2015,Latvia,Aminata Savadogo,Love Injected,6.0,186.0,https://youtube.com/watch?v=PgmZaf1Sb_4
2015,Estonia,Elina Born & Stig Rästa,Goodbye to Yesterday,7.0,106.0,https://youtube.com/watch?v=gSWbx3CvVUk
2015,Norway,Mørland & Debrah Scarlett,A Monster Like Me,8.0,102.0,https://youtube.com/watch?v=oVKJK9yb5xY
2015,Israel,Nadav Guedj,Golden Boy,9.0,97.0,https://youtube.com/watch?v=5bi1lK91bas
2015,Serbia,Bojana Stamenov,Beauty Never Lies,10.0,53.0,https://youtube.com/watch?v=gXGo70i94S8
2015,Georgia,Nina Sublatti,Warrior,11.0,51.0,https://youtube.com/watch?v=gWgDzQ0mWTg
2015,Azerbaijan,Elnur Hüseynov,Hour Of The Wolf,12.0,49.0,https://youtube.com/watch?v=L_y-yMIzTNc
2015,Montenegro,Knez,Adio,13.0,44.0,https://youtube.com/watch?v=vrYmyTJ87vI
2015,Slovenia,Maraaya,Here for You,14.0,39.0,https://youtube.com/watch?v=lTuHbVKYgY0
2015,Romania,Voltaj,De La Capăt / All Over Again,15.0,35.0,https://youtube.com/watch?v=o7iOFkEymXA
2015,Armenia,Genealogy,Face The Shadow,16.0,34.0,https://youtube.com/watch?v=BYXr2FccjKE
2015,Albania,Elhaida Dani,I'm Alive,17.0,34.0,https://youtube.com/watch?v=GtpMLqiplfY
2015,Lithuania,Monika & Vaidas,This Time,18.0,30.0,https://youtube.com/watch?v=r13a2VUTajU
2015,Greece,Maria Elena Kyriakou,One Last Breath,19.0,23.0,https://youtube.com/watch?v=qD6epZ-YWSc
2015,Hungary,Boggie,Wars For Nothing,20.0,19.0,https://youtube.com/watch?v=gzHNFFSFTIs
2015,Spain,Edurne,Amanecer,21.0,15.0,https://youtube.com/watch?v=NsMiJJlElAY
2015,Cyprus,John Karayiannis,One Thing I Should Have Done,22.0,11.0,https://youtube.com/watch?v=r7qMNtK9uM8
2015,Poland,Monika Kuszyńska,In The Name Of Love,23.0,10.0,https://youtube.com/watch?v=VBI8TQXi--M
2015,United Kingdom,Electro Velvet,Still in Love with You,24.0,5.0,https://youtube.com/watch?v=Ethyx4A5ajM
2015,France,Lisa Angell,N’oubliez pas,25.0,4.0,https://youtube.com/watch?v=tJful-Jtc9o
2015,Austria,The Makemakes,I Am Yours,26.0,0.0,https://youtube.com/watch?v=-f993p0CAV8
2015,Germany,Ann Sophie,Black Smoke,27.0,0.0,https://youtube.com/watch?v=DGMJOchTRPc
2015,Moldova,Eduard Romanyuta,I Want Your Love,28.0,,https://youtube.com/watch?v=px1MoZ0k7qY
2015,Malta,Amber,Warrior,29.0,,https://youtube.com/watch?v=SaJxu3vorLc
2015,Belarus,Uzari & Maimuna,Time,30.0,,https://youtube.com/watch?v=Cwjm1lRV4N4
2015,Ireland,Molly Sterling,Playing With Numbers,31.0,,https://youtube.com/watch?v=3B5sdNJF0lk
2015,Denmark,Anti Social Media,The Way You Are,32.0,,https://youtube.com/watch?v=J--Tgi_iZQ8
2015,Netherlands,Trijntje Oosterhuis,Walk Along,33.0,,https://youtube.com/watch?v=O_fs4SPGyF0
2015,Czech Republic,Marta Jandová & Václav Noid Bárta,Hope Never Dies,34.0,,https://youtube.com/watch?v=SLz6VeSPXjA
2015,North Macedonia,Daniel Kajmakoski,Autumn Leaves,35.0,,https://youtube.com/watch?v=TtSum7ouImU
2015,Portugal,Leonor Andrade,Há um mar que nos Separa,36.0,,https://youtube.com/watch?v=vE-LqXkb0ok
2015,Iceland,María Ólafsdóttir,Unbroken,37.0,,https://youtube.com/watch?v=0Jl-Hr137uM
